CRITICAL - 2023-10-02 20:31:59 - 85521 - Server up  - __main__ - 11
INFO - 2023-10-02 20:35:38 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:38 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:38 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:38 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:38 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:38 - 85521 - get unanswered question with id 2 from db for user 697676633  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:35:43 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:43 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:43 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:43 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:43 - 85521 - connected to db  - core.DataBase.DataBase - 12
